"total","1762789438","0.0003765852655513135"
"total","1762789443","0.0008887918242224954"
"total","1762789448","0.001200455671312814"
"total","1762789453","0.001161822222222222"
"total","1762789458","0.001161822222222222"
"total","1762789463","0.001161822222222222"
"total","1762789468","0.001161822222222222"
"total","1762789473","0.001161822222222222"
"total","1762789478","0.001161822222222222"
"total","1762789483","0.001161822222222222"
"total","1762789488","0.001161822222222222"
"total","1762789493","0.001161822222222222"
"total","1762789498","0.001161822222222222"
"total","1762789503","0.001161822222222222"
