"total","1762697350","0.00010978155002052123"
"total","1762697355","0.00011255349500677406"
"total","1762697360","0.00011407464500195615"
"total","1762697365","0.008361220207671957"
"total","1762697370","0.062497062330065516"
"total","1762697375","0.10622162886913064"
"total","1762697380","0.17157194176937945"
"total","1762697385","0.21932604483224083"
"total","1762697390","0.27380625198712816"
"total","1762697395","0.3257507507414148"
"total","1762697400","0.38305609473073476"
"total","1762697405","0.39338417662815034"
"total","1762697410","0.3866639800291396"
"total","1762697415","0.3908363733443579"
"total","1762697420","0.4063094291648774"
"total","1762697425","0.39581093376981313"
"total","1762697430","0.5510847531348857"
"total","1762697435","0.5501370697372346"
"total","1762697440","0.5466472455502358"
"total","1762697445","0.544000645321049"
"total","1762697450","0.5540083518757057"
"total","1762697455","0.7205862240189934"
"total","1762697460","0.7261489748750384"
"total","1762697465","0.7138594065061047"
"total","1762697470","0.7058355850063116"
"total","1762697475","0.9014917874311996"
"total","1762697480","0.8943960979522094"
"total","1762697485","0.8448145365168538"
"total","1762697490","0.7962497628970933"
"total","1762697495","0.7402415569293127"
"total","1762697500","0.6903250337663874"
"total","1762697505","0.8153158720420678"
"total","1762697510","0.7514127947115888"
"total","1762697515","0.7289312950937938"
"total","1762697520","0.6996417453117295"
"total","1762697525","0.8775745926155117"
"total","1762697530","0.9059397120017039"
"total","1762697535","0.7438812050272107"
"total","1762697540","0.7975152954231295"
"total","1762697545","0.7216448318995241"
"total","1762697550","0.7515950494523042"
"total","1762697555","0.7511881340208094"
"total","1762697560","0.5868220583333347"
"total","1762697565","0.6106346900298218"
"total","1762697570","0.5810501059864784"
"total","1762697575","0.5768999408090294"
"total","1762697580","0.5883122466464508"
"total","1762697585","0.42687481829926305"
"total","1762697590","0.40127144400255693"
"total","1762697595","0.4069024356690846"
"total","1762697600","0.4071140546683816"
"total","1762697605","0.41135018805201745"
"total","1762697610","0.23095692000000104"
"total","1762697615","0.2430198522558101"
"total","1762697620","0.2203647565569612"
"total","1762697625","0.23505176407815737"
"total","1762697630","0"
